cite_id	paper_title	venue	year	method	dataset	metric	score	backbone	split	notes
fang2024scaling	"Scaling Laws For Dense Retrieval"	"SIGIR 2024"	2024	"Dense Retrieval"	"MS MARCO"	"R-squared (model scaling)"	0.991	BERT	dev	"Power-law fit quality"
fang2024scaling	"Scaling Laws For Dense Retrieval"	"SIGIR 2024"	2024	"Dense Retrieval"	T2Ranking	"R-squared (model scaling)"	0.999	ERNIE	dev	"Power-law fit quality"
morris2025contextual	"Contextual Document Embeddings"	"ICLR 2025"	2025	CDE	BEIR	"nDCG@10"	63.1	NomicBERT	test	"Small setting, both methods combined"
morris2025contextual	"Contextual Document Embeddings"	"ICLR 2025"	2025	CDE	MTEB	"Average Score"	65.0	NomicBERT	test	"cde-small-v1 contextual"
morris2025contextual	"Contextual Document Embeddings"	"ICLR 2025"	2025	CDE	TREC-COVID	"nDCG@10"	77.1	NomicBERT	test	"Unsupervised contextual"
morris2025contextual	"Contextual Document Embeddings"	"ICLR 2025"	2025	CDE	FEVER	"nDCG@10"	89.2	NomicBERT	test	"Supervised contextual"
wang2024e5mistral	"Improving Text Embeddings with Large Language Models"	"ACL 2024"	2024	E5-Mistral	MTEB	"Average Score"	66.6	"Mistral-7B"	test	"56 datasets"
wang2024e5mistral	"Improving Text Embeddings with Large Language Models"	"ACL 2024"	2024	E5-Mistral	BEIR	"nDCG@10"	56.9	"Mistral-7B"	test	"15 datasets"
muennighoff2025gritlm	"Generative Representational Instruction Tuning"	"ICLR 2025"	2025	GritLM	MTEB	"Average Score"	66.8	"Mistral-7B"	test	"SOTA for open models"
muennighoff2025gritlm	"Generative Representational Instruction Tuning"	"ICLR 2025"	2025	"GritLM 8x7B"	"Generation tasks"	"Average Score"	65.7	"Mixtral 8x7B"	test	"7-task generative average"
lee2024nvembed	"NV-Embed"	"NeurIPS 2024"	2024	"NV-Embed-v2"	MTEB	"Average Score"	72.31	"Mistral-7B"	test	"#1 on leaderboard Aug 2024"
lee2024nvembed	"NV-Embed"	"NeurIPS 2024"	2024	"NV-Embed-v2"	BEIR	"nDCG@10"	62.65	"Mistral-7B"	test	"15 datasets"
lee2024nvembed	"NV-Embed"	"NeurIPS 2024"	2024	"NV-Embed-v1"	MTEB	"Average Score"	69.32	"Mistral-7B"	test	"#1 May 2024"
lee2024nvembed	"NV-Embed"	"NeurIPS 2024"	2024	"NV-Embed-v1"	BEIR	"nDCG@10"	59.36	"Mistral-7B"	test	""
lee2024gecko	"Gecko: Versatile Text Embeddings"	"arXiv 2024"	2024	Gecko	MTEB	"Average Score"	66.31	"Gecko 768-dim"	test	""
chen2024bgem3	"M3-Embedding"	"ACL 2024 Findings"	2024	"BGE-M3 (All)"	MIRACL	"nDCG@10"	70.0	"XLM-RoBERTa-Large"	test	"Multilingual average"
chen2024bgem3	"M3-Embedding"	"ACL 2024 Findings"	2024	"BGE-M3 (All)"	MKQA	"Recall@100"	75.5	"XLM-RoBERTa-Large"	test	"Cross-lingual average"
chen2024bgem3	"M3-Embedding"	"ACL 2024 Findings"	2024	"BGE-M3 (All)"	MLDR	"nDCG@10"	65.0	"XLM-RoBERTa-Large"	test	"Long-document average"
chen2024bgem3	"M3-Embedding"	"ACL 2024 Findings"	2024	"BGE-M3 (All)"	NarrativeQA	"nDCG@10"	61.7	"XLM-RoBERTa-Large"	test	""
sturua2024jinav3	"jina-embeddings-v3"	"arXiv 2024"	2024	"Jina v3"	"MTEB English Retrieval"	"nDCG@10"	53.87	"XLM-RoBERTa"	test	"570M params"
